,time,category,field,value,score
292,2025-03-16 00:00:00+00:00,Air quality,Relative humidity (R.H.) (%),58.361666666666665,58.0
294,2025-03-16 00:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
295,2025-03-16 00:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),141.71666666666667,1.0
296,2025-03-16 00:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),127.43333333333334,0.1
298,2025-03-16 00:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
299,2025-03-16 00:00:00+00:00,Thermal comfort,Temperature (°C),21.761065266666673,51.0
300,2025-03-16 01:00:00+00:00,Acoustics,Sound pressure (dB(A)),47.75,0.1
301,2025-03-16 01:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),1.8218609406952968,100.0
303,2025-03-16 01:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),3392.5916666666667,0.1
304,2025-03-16 01:00:00+00:00,Air quality,Relative humidity (R.H.) (%),55.26249999999999,73.0
306,2025-03-16 01:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
307,2025-03-16 01:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),122.66666666666664,20.0
308,2025-03-16 01:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),98.49166666666667,0.1
310,2025-03-16 01:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
311,2025-03-16 01:00:00+00:00,Thermal comfort,Temperature (°C),20.62356526666666,97.0
312,2025-03-16 02:00:00+00:00,Acoustics,Sound pressure (dB(A)),47.083333333333336,0.1
313,2025-03-16 02:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1842331288343558,100.0
315,2025-03-16 02:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),2561.8416666666667,0.1
316,2025-03-16 02:00:00+00:00,Air quality,Relative humidity (R.H.) (%),54.028333333333336,79.0
318,2025-03-16 02:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
319,2025-03-16 02:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),81.49166666666667,31.0
320,2025-03-16 02:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),73.63333333333333,0.1
322,2025-03-16 02:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
323,2025-03-16 02:00:00+00:00,Thermal comfort,Temperature (°C),19.901898599999996,100.0
324,2025-03-16 03:00:00+00:00,Acoustics,Sound pressure (dB(A)),44.0,0.1
325,2025-03-16 03:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
327,2025-03-16 03:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),2003.3754208754208,5.0
